T_CATEGORIES_ID,T_CATEGORIES_NAME1,T_CATEGORIES_NAME2,T_CATEGORIES_NAME3,T_CATEGORIES_NAME4,T_CATEGORIES_NAME5,T_CATEGORIES_NAME6,T_CATEGORIES_NAME7,T_CATEGORIES_NAME8,T_CATEGORIES_NAME9,T_CATEGORIES_NAME10,T_CATEGORIES_DESCRIPTION1,T_CATEGORIES_DESCRIPTION2,T_CATEGORIES_DESCRIPTION3,T_CATEGORIES_DESCRIPTION4,T_CATEGORIES_DESCRIPTION5,T_CATEGORIES_DESCRIPTION6,T_CATEGORIES_DESCRIPTION7,T_CATEGORIES_DESCRIPTION8,T_CATEGORIES_DESCRIPTION9,T_CATEGORIES_DESCRIPTION10,T_CATEGORIES_LAST_UPD_DATETIME,T_CATEGORIES_LAST_UPDATER,T_CATEGORIES_DLT_FLAG,T_CATEGORIES_SPARE1,T_CATEGORIES_SPARE2,T_CATEGORIES_SPARE3,T_CATEGORIES_SPARE4,T_CATEGORIES_SPARE5,T_CATEGORIES_SPARE6,T_CATEGORIES_SPARE7,T_CATEGORIES_SPARE8,T_CATEGORIES_SPARE9,T_CATEGORIES_SPARE10
1,キャラクター1,Character1,角色1,角色1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,プリパラ1,PriPara1,美妙天堂1,星光樂園1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
